ID,name,category,gender,follower_count,platform
1,Cody Johnson,Nutrition,Male,66450,Twitter
2,Claudia Nguyen,Nutrition,Male,25277,YouTube
3,Darrell Benson,Nutrition,Female,90008,YouTube
4,Priscilla Lewis,Lifestyle,Female,7715,Twitter
5,Latoya Chung DDS,Lifestyle,Female,70433,Instagram
6,Melanie Johnson,Nutrition,Male,97869,YouTube
7,Travis Campbell,Lifestyle,Male,64474,Twitter
8,Jennifer Allen,Lifestyle,Female,51371,Instagram
9,Derek Thomas,Nutrition,Female,48934,Twitter
10,Monique Garcia,Lifestyle,Male,25451,Instagram
11,Sydney Johnson,Nutrition,Female,52336,YouTube
12,John Pratt,Fitness,Female,59449,Twitter
13,Courtney Wolf,Fitness,Male,93098,Twitter
14,Christian Weiss,Lifestyle,Female,14737,YouTube
15,Renee Walters,Lifestyle,Female,75095,YouTube
16,Scott Schaefer,Nutrition,Male,90173,YouTube
17,Kevin Cox,Fitness,Male,89505,YouTube
18,Dana Kelly,Nutrition,Female,35655,Twitter
19,Miss Susan Jackson DVM,Nutrition,Female,34002,YouTube
20,Angela Black,Nutrition,Male,57582,Twitter
